RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM,TOUR_BEGIN_DE_FROM_ERA
133200,20250421,10~20만원 미만,1만원 미만,10만원 이상,1만원 미만,1만원 미만,3~5만원 미만,1~3만원 미만,경기도,용인시,2명,2박 3일,F,60대 이상,기혼,자녀 독립(막내 결혼),자영업,300~500만원 미만,20250104
153718,20250421,10~20만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,충청남도,예산군,모름,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),사무/기술직,500~700만원 미만,20250412
165173,20250421,10~20만원 미만,1만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,경기도,용인시,2명,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,300~500만원 미만,20250419
167400,20250421,모름,모름,모름,모름,모름,모름,모름,강원도,양양군,3명,4박 5일,F,50대,기혼,자녀 성인(막내 대학),전업주부,700만원 이상,20250310
179124,20250421,30~40만원 미만,7~10만원 미만,10만원 이상,5~7만원 미만,1만원 미만,3~5만원 미만,3~5만원 미만,경기도,가평군/화성시,혼자서,4박 5일,F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상,20250408
180699,20250421,모름,모름,모름,모름,모름,모름,모름,인천시,모름,2명,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),사무/기술직,300만원 미만,20250302
188239,20250421,30~40만원 미만,10만원 이상,10만원 이상,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,제주도,서귀포시(시내동)/성산읍/애월읍/제주시(시내동),3명,3박 4일,F,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,300~500만원 미만,20250406
221368,20250421,20~30만원 미만,10만원 이상,10만원 이상,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,전라북도,군산시,2명,2박 3일,F,20대,미혼,미혼,사무/기술직,700만원 이상,20250314
278709,20250421,10~20만원 미만,1만원 미만,7~10만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,서울시,모름,2명,2박 3일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300~500만원 미만,20250301
298051,20250421,10~20만원 미만,3~5만원 미만,7~10만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,경주시/포항시,2명,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300만원 미만,20250406
302060,20250421,20~30만원 미만,5~7만원 미만,5~7만원 미만,1~3만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,부산시,모름,5명 이상,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300~500만원 미만,20250308
317504,20250421,20~30만원 미만,7~10만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1~3만원 미만,1만원 미만,경상남도,거제시,3명,1박 2일,F,60대 이상,기혼,신혼기(자녀 없음),사무/기술직,700만원 이상,20250321
335479,20250421,모름,모름,모름,모름,모름,모름,모름,충청남도,논산시,5명 이상,2박 3일,F,20대,미혼,미혼,사무/기술직,모름,20250321
337584,20250421,40만원 이상,1만원 미만,10만원 이상,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,인천시,모름,2명,2박 3일,F,30대,미혼,미혼,판매/서비스직,300만원 미만,20250208
346091,20250421,20~30만원 미만,1만원 미만,3~5만원 미만,7~10만원 미만,1만원 미만,7~10만원 미만,1만원 미만,서울시,모름,혼자서,4박 5일,F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,500~700만원 미만,20250317
347600,20250421,모름,모름,모름,모름,모름,모름,모름,부산시,모름,2명,3박 4일,F,20대,미혼,미혼,판매/서비스직,모름,20250114
353035,20250421,20~30만원 미만,5~7만원 미만,3~5만원 미만,3~5만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,경기도,가평군,5명 이상,2박 3일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300~500만원 미만,20250308
357312,20250421,20~30만원 미만,1만원 미만,10만원 이상,5~7만원 미만,1만원 미만,5~7만원 미만,1만원 미만,경상북도,문경시/봉화군/영주시/울진군,2명,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,700만원 이상,20250421
360633,20250421,10~20만원 미만,10만원 이상,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,서울시,모름,2명,모름,F,20대,미혼,미혼,기타/무직,모름,20250215
360727,20250421,20~30만원 미만,10만원 이상,3~5만원 미만,3~5만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,대전시,모름,4명,2박 3일,M,20대,미혼,미혼,기타/무직,500~700만원 미만,20250328
363127,20250421,10~20만원 미만,1만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,5~7만원 미만,충청남도,천안시,2명,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,500~700만원 미만,20250412
382232,20250421,10~20만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,강원도,영월군,2명,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),판매/서비스직,700만원 이상,20250301
398960,20250421,모름,모름,모름,모름,모름,모름,모름,제주도,구좌읍/남원읍/서귀포시(시내동)/성산읍/제주시(시내동)/조천읍/한림읍,혼자서,4박 5일,F,60대 이상,기혼,자녀 성인(막내 대학),경영/관리/전문직,모름,20250313
402376,20250421,모름,모름,모름,모름,모름,모름,모름,전라남도,목포시,5명 이상,4박 5일,M,20대,미혼,미혼,사무/기술직,모름,20250101
402633,20250421,40만원 이상,7~10만원 미만,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,대전시,모름,혼자서,1박 2일,M,20대,미혼,미혼,기타/무직,700만원 이상,20250106
408017,20250421,모름,모름,모름,모름,모름,모름,모름,제주도,서귀포시(시내동)/애월읍,2명,2박 3일,F,60대 이상,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,모름,20250327
411094,20250421,10~20만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,울산시,모름,2명,1박 2일,M,20대,기혼,신혼기(자녀 없음),사무/기술직,700만원 이상,20250418
415223,20250421,모름,모름,모름,모름,모름,모름,모름,부산시,모름,3명,2박 3일,F,60대 이상,기타,자녀 성인(막내 대학),경영/관리/전문직,700만원 이상,20250328
420557,20250421,20~30만원 미만,5~7만원 미만,5~7만원 미만,7~10만원 미만,1만원 미만,1~3만원 미만,1만원 미만,경상북도,경주시,5명 이상,2박 3일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,모름,20250413
422279,20250421,모름,모름,모름,모름,모름,모름,모름,전라남도,구례군,3명,2박 3일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,모름,20250124
424547,20250421,모름,모름,모름,모름,모름,모름,모름,경상남도,창녕군,2명,2박 3일,M,20대,미혼,미혼,사무/기술직,모름,20250310
428144,20250421,30~40만원 미만,10만원 이상,10만원 이상,1~3만원 미만,1만원 미만,7~10만원 미만,1만원 미만,강원도,춘천시,3명,2박 3일,F,20대,미혼,미혼,판매/서비스직,모름,20250322
429086,20250421,모름,모름,모름,모름,모름,모름,모름,서울시,모름,혼자서,3박 4일,M,20대,미혼,미혼,기타/무직,모름,20250305
430700,20250421,10~20만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,5~7만원 미만,1만원 미만,1만원 미만,강원도,강릉시,5명 이상,1박 2일,M,20대,미혼,미혼,대학/대학원생,모름,20250103
430752,20250421,모름,모름,모름,모름,모름,모름,모름,경기도,양평군,4명,1박 2일,F,20대,미혼,미혼,사무/기술직,모름,20250329
441096,20250421,10~20만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,부산시,모름,혼자서,1박 2일,F,20대,미혼,미혼,사무/기술직,300~500만원 미만,20250422
444223,20250421,10~20만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,충청남도,천안시,3명,1박 2일,F,20대,미혼,미혼,사무/기술직,300만원 미만,20250125
445220,20250421,10~20만원 미만,5~7만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,양양군,5명 이상,6박 7일 이상,M,20대,미혼,미혼,대학/대학원생,모름,20250114
447738,20250421,20~30만원 미만,7~10만원 미만,7~10만원 미만,5~7만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,경상북도,경주시,3명,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,500~700만원 미만,20250126
449080,20250421,20~30만원 미만,7~10만원 미만,10만원 이상,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,경상남도,남해군,5명 이상,1박 2일,F,60대 이상,미혼,미혼,사무/기술직,700만원 이상,20250406
450085,20250421,10만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,충청북도,제천시,4명,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),사무/기술직,700만원 이상,20250310
450261,20250421,모름,모름,모름,모름,모름,모름,모름,인천시,모름,혼자서,6박 7일 이상,M,20대,미혼,미혼,대학/대학원생,모름,20250317
452909,20250421,30~40만원 미만,1만원 미만,7~10만원 미만,7~10만원 미만,1만원 미만,10만원 이상,1만원 미만,서울시,모름,혼자서,1박 2일,F,20대,미혼,미혼,경영/관리/전문직,700만원 이상,20250419
453320,20250421,30~40만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1~3만원 미만,1만원 미만,강원도,강릉시/고성군/속초시/양양군,5명 이상,4박 5일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,700만원 이상,20250320
454411,20250421,20~30만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,영덕군,2명,1박 2일,M,20대,미혼,미혼,기능/숙련/일반작업직,300만원 미만,20250315
456931,20250421,40만원 이상,5~7만원 미만,10만원 이상,10만원 이상,5~7만원 미만,10만원 이상,1만원 미만,서울시,모름,혼자서,1박 2일,F,20대,미혼,미혼,판매/서비스직,300만원 미만,20250330
458224,20250421,10만원 미만,1만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,인천시,모름,2명,1박 2일,F,20대,미혼,미혼,기타/무직,300만원 미만,20250206
458323,20250421,10~20만원 미만,1~3만원 미만,7~10만원 미만,1만원 미만,1만원 미만,1~3만원 미만,1만원 미만,충청북도,청주시,5명 이상,1박 2일,M,20대,미혼,미혼,대학/대학원생,모름,20250325
466877,20250421,20~30만원 미만,1~3만원 미만,7~10만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,강원도,강릉시,2명,1박 2일,F,20대,미혼,미혼,대학/대학원생,500~700만원 미만,20250210
469290,20250421,10~20만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,울산시,모름,2명,4박 5일,F,20대,미혼,미혼,대학/대학원생,모름,20250102
474908,20250421,10~20만원 미만,3~5만원 미만,7~10만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,대전시,모름,5명 이상,1박 2일,M,20대,미혼,미혼,사무/기술직,300만원 미만,20250419
475062,20250421,10만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,1만원 미만,부산시,모름,3명,2박 3일,F,20대,미혼,미혼,대학/대학원생,300~500만원 미만,20250122
479163,20250421,모름,모름,모름,모름,모름,모름,모름,부산시,모름,2명,1박 2일,M,20대,미혼,미혼,기타/무직,700만원 이상,20250125
479615,20250421,모름,모름,모름,모름,모름,모름,모름,충청북도,단양군,2명,1박 2일,M,20대,미혼,미혼,대학/대학원생,모름,20250409
479765,20250421,10~20만원 미만,3~5만원 미만,10만원 이상,1만원 미만,1만원 미만,3~5만원 미만,1만원 미만,전라북도,완주군/전주시,5명 이상,1박 2일,M,20대,미혼,미혼,사무/기술직,300~500만원 미만,20250125
479908,20250421,40만원 이상,10만원 이상,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,1만원 미만,부산시,모름,3명,모름,M,20대,미혼,미혼,기타/무직,300만원 미만,20250203
480049,20250421,10~20만원 미만,1만원 미만,1~3만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,부산시,모름,3명,2박 3일,M,20대,미혼,미혼,대학/대학원생,300~500만원 미만,20250329
53322340,20250421,20~30만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,10만원 이상,1만원 미만,강원도,홍천군,4명,2박 3일,F,40대,기혼,자녀 성장(막내 중고생),기능/숙련/일반작업직,500~700만원 미만,20250123
53322407,20250421,30~40만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,3~5만원 미만,10만원 이상,1만원 미만,충청남도,태안군,5명 이상,1박 2일,F,40대,미혼,미혼,자영업,500~700만원 미만,20250308
53322682,20250421,10~20만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,경기도,화성시,2명,2박 3일,M,60대 이상,기혼,자녀 성인(막내 대학),자영업,300~500만원 미만,20250330
53322930,20250421,10~20만원 미만,1~3만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,5~7만원 미만,1~3만원 미만,강원도,정선군,혼자서,1박 2일,M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,700만원 이상,20250302
53323154,20250421,10~20만원 미만,1만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,전라북도,부안군/전주시,4명,1박 2일,F,50대,기혼,자녀 성인(막내 대학),기타/무직,500~700만원 미만,20250125
53323357,20250421,20~30만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,전라남도,담양군,2명,4박 5일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,500~700만원 미만,20250325
53323757,20250421,10~20만원 미만,1만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,1~3만원 미만,1만원 미만,충청남도,서산시,2명,1박 2일,M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,500~700만원 미만,20250312
53323802,20250421,모름,모름,모름,모름,모름,모름,모름,전라남도,구례군/여수시,3명,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,500~700만원 미만,20250124
53324015,20250421,10~20만원 미만,1만원 미만,3~5만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,광주시,모름,혼자서,1박 2일,M,20대,미혼,미혼,대학/대학원생,모름,20250315
53324157,20250421,10~20만원 미만,5~7만원 미만,1만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,충청남도,청양군,2명,1박 2일,M,60대 이상,기혼,자녀 독립(막내 결혼),사무/기술직,500~700만원 미만,20250329
53324389,20250421,40만원 이상,10만원 이상,10만원 이상,3~5만원 미만,1만원 미만,1~3만원 미만,1만원 미만,제주도,서귀포시(시내동)/애월읍/한림읍,2명,5박 6일,M,20대,미혼,미혼,사무/기술직,모름,20250109
53324582,20250421,20~30만원 미만,5~7만원 미만,7~10만원 미만,7~10만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,속초시/인제군,5명 이상,1박 2일,M,50대,기혼,자녀 성인(막내 대학),경영/관리/전문직,700만원 이상,20250301
53324636,20250421,10~20만원 미만,1만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,고성군/속초시,2명,2박 3일,F,50대,미혼,미혼,사무/기술직,300~500만원 미만,20250228
53324749,20250421,20~30만원 미만,5~7만원 미만,10만원 이상,5~7만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,강원도,고성군/속초시,5명 이상,2박 3일,M,50대,기혼,자녀 독립(막내 결혼),경영/관리/전문직,500~700만원 미만,20250328
53324848,20250421,10만원 미만,1만원 미만,1만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,경기도,용인시/화성시,2명,2박 3일,M,60대 이상,기혼,자녀 독립(막내 결혼),경영/관리/전문직,700만원 이상,20250329
53325195,20250421,10~20만원 미만,3~5만원 미만,3~5만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,경상남도,거창군/밀양시/창원시,4명,4박 5일,M,50대,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상,20250417
53325332,20250421,30~40만원 미만,10만원 이상,10만원 이상,7~10만원 미만,1만원 미만,1만원 미만,1만원 미만,경상남도,남해군,3명,2박 3일,F,30대,미혼,미혼,사무/기술직,모름,20250418
53325433,20250421,30~40만원 미만,10만원 이상,5~7만원 미만,5~7만원 미만,10만원 이상,1만원 미만,1만원 미만,서울시,모름,3명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),자영업,300~500만원 미만,20250412
53325868,20250421,20~30만원 미만,7~10만원 미만,5~7만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,1만원 미만,서울시,모름,3명,2박 3일,F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),자영업,500~700만원 미만,20250227
53325999,20250421,10~20만원 미만,3~5만원 미만,7~10만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,전라북도,고창군,4명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상,20250419
53326031,20250421,30~40만원 미만,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,부산시,모름,4명,2박 3일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),경영/관리/전문직,700만원 이상,20250207
53326064,20250421,10만원 미만,1만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,전라북도,고창군,2명,1박 2일,M,30대,미혼,미혼,사무/기술직,모름,20250420
53326168,20250421,20~30만원 미만,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,경주시,2명,2박 3일,F,40대,기혼,자녀 성장(막내 중고생),기능/숙련/일반작업직,모름,20250108
53326175,20250421,모름,모름,모름,모름,모름,모름,모름,울산시,모름,5명 이상,1박 2일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,모름,20250419
53326288,20250421,10만원 미만,3~5만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,경기도,연천군,5명 이상,2박 3일,F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),경영/관리/전문직,500~700만원 미만,20250214
53326504,20250421,모름,모름,모름,모름,모름,모름,모름,강원도,삼척시,2명,2박 3일,F,50대,미혼,미혼,기타/무직,700만원 이상,20250319
53326519,20250421,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,전라남도,여수시,3명,모름,M,40대,미혼,미혼,기타/무직,모름,20250113
53326674,20250421,30~40만원 미만,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,포항시,혼자서,1박 2일,M,50대,기혼,신혼기(자녀 없음),기능/숙련/일반작업직,모름,20250222
53327360,20250421,10~20만원 미만,7~10만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,1~3만원 미만,1만원 미만,전라남도,구례군/순천시,2명,2박 3일,M,50대,기혼,자녀 성인(막내 대학),자영업,300~500만원 미만,20250115
53327513,20250421,20~30만원 미만,10만원 이상,1만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,경상남도,통영시,5명 이상,2박 3일,F,50대,미혼,미혼,사무/기술직,300~500만원 미만,20250221
53327738,20250421,10~20만원 미만,7~10만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,충청북도,영동군,4명,1박 2일,F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,500~700만원 미만,20250328
53327834,20250421,10만원 미만,1만원 미만,1만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1~3만원 미만,충청남도,천안시,혼자서,1박 2일,M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,모름,20250303
53327998,20250421,모름,모름,모름,모름,모름,모름,모름,전라북도,무주군,모름,1박 2일,F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),경영/관리/전문직,모름,20250419
53328259,20250421,40만원 이상,10만원 이상,7~10만원 미만,7~10만원 미만,1만원 미만,3~5만원 미만,1만원 미만,강원도,속초시,혼자서,2박 3일,F,30대,미혼,미혼,사무/기술직,300~500만원 미만,20250203
53328286,20250421,20~30만원 미만,3~5만원 미만,10만원 이상,7~10만원 미만,1만원 미만,1만원 미만,1만원 미만,전라남도,고흥군,4명,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상,20250329
53328396,20250421,20~30만원 미만,1만원 미만,10만원 이상,1만원 미만,10만원 이상,1만원 미만,1만원 미만,강원도,속초시,3명,2박 3일,F,50대,기혼,자녀 성인(막내 대학),판매/서비스직,700만원 이상,20250314
53328760,20250421,모름,모름,모름,모름,모름,모름,모름,서울시,모름,혼자서,1박 2일,F,30대,미혼,미혼,사무/기술직,모름,20250222
53328913,20250421,10~20만원 미만,3~5만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1~3만원 미만,전라북도,군산시,3명,1박 2일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,모름,20250321
53329024,20250421,10~20만원 미만,1만원 미만,1만원 미만,3~5만원 미만,7~10만원 미만,1만원 미만,1만원 미만,대전시,모름,3명,1박 2일,M,50대,미혼,미혼,기타/무직,300만원 미만,20250204
53329033,20250421,20~30만원 미만,10만원 이상,5~7만원 미만,1만원 미만,1만원 미만,5~7만원 미만,1만원 미만,울산시,모름,4명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,700만원 이상,20250329
53329098,20250421,30~40만원 미만,1만원 미만,1만원 미만,10만원 이상,10만원 이상,7~10만원 미만,1만원 미만,서울시,모름,혼자서,2박 3일,M,20대,미혼,미혼,대학/대학원생,모름,20250215
53329105,20250421,40만원 이상,10만원 이상,10만원 이상,10만원 이상,1~3만원 미만,3~5만원 미만,1만원 미만,경상북도,경주시,2명,1박 2일,M,30대,미혼,미혼,사무/기술직,300~500만원 미만,20250329
53329514,20250421,10~20만원 미만,1만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,강원도,평창군,4명,2박 3일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,500~700만원 미만,20250418
53329522,20250421,모름,모름,모름,모름,모름,모름,모름,충청북도,음성군,4명,모름,M,60대 이상,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,모름,20250301
53329552,20250421,20~30만원 미만,7~10만원 미만,10만원 이상,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,경주시,2명,1박 2일,F,50대,기혼,자녀 성장(막내 중고생),사무/기술직,500~700만원 미만,20250125
53329981,20250421,10~20만원 미만,7~10만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,강원도,강릉시/화천군,3명,3박 4일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,300~500만원 미만,20250117
53330020,20250421,모름,모름,모름,모름,모름,모름,모름,경기도,화성시,5명 이상,1박 2일,F,30대,미혼,미혼,대학/대학원생,300~500만원 미만,20250101
53330097,20250421,20~30만원 미만,5~7만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,전라남도,여수시,4명,2박 3일,F,50대,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,700만원 이상,20250307
53330211,20250421,10~20만원 미만,5~7만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,경주시,2명,1박 2일,M,60대 이상,기혼,자녀 독립(막내 결혼),기능/숙련/일반작업직,모름,20250311
53330378,20250421,10만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,경기도,이천시,5명 이상,1박 2일,F,30대,미혼,미혼,사무/기술직,300만원 미만,20250412
53330559,20250421,20~30만원 미만,7~10만원 미만,7~10만원 미만,3~5만원 미만,1만원 미만,1~3만원 미만,1만원 미만,충청남도,공주시/부여군/세종특별자치시,3명,2박 3일,M,50대,미혼,미혼,판매/서비스직,700만원 이상,20250228
53330862,20250421,10~20만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,전라남도,순천시,모름,1박 2일,M,30대,미혼,미혼,사무/기술직,300~500만원 미만,20250329
53330946,20250421,30~40만원 미만,10만원 이상,7~10만원 미만,5~7만원 미만,3~5만원 미만,5~7만원 미만,1만원 미만,경상북도,경주시/포항시,4명,2박 3일,F,30대,미혼,미혼,사무/기술직,300~500만원 미만,20250210
53331344,20250421,모름,모름,모름,모름,모름,모름,모름,전라북도,무주군,5명 이상,3박 4일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),기타/무직,모름,20250210
53332745,20250421,30~40만원 미만,5~7만원 미만,10만원 이상,5~7만원 미만,1만원 미만,10만원 이상,5~7만원 미만,경기도,고양시,2명,1박 2일,F,40대,기혼,자녀 성장(막내 중고생),사무/기술직,500~700만원 미만,20250329
53332836,20250421,10~20만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,전라남도,강진군/구례군,2명,1박 2일,M,50대,기혼,자녀 성장(막내 중고생),사무/기술직,700만원 이상,20250322
53333081,20250421,모름,모름,모름,모름,모름,모름,모름,충청남도,보령시,5명 이상,1박 2일,F,40대,기혼,자녀 성장(막내 중고생),자영업,700만원 이상,20250104
53333337,20250421,모름,모름,모름,모름,모름,모름,모름,경기도,수원시,2명,2박 3일,M,30대,미혼,미혼,사무/기술직,모름,20250314
53333349,20250421,20~30만원 미만,3~5만원 미만,7~10만원 미만,10만원 이상,1만원 미만,3~5만원 미만,1만원 미만,경상북도,경주시,5명 이상,1박 2일,M,20대,미혼,미혼,사무/기술직,500~700만원 미만,20250214
53333388,20250421,10만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,경상남도,창원시,2명,1박 2일,F,50대,기타,자녀 성인(막내 대학),사무/기술직,모름,20250329
53333470,20250421,모름,모름,모름,모름,모름,모름,모름,대구시,모름,2명,2박 3일,M,50대,미혼,미혼,사무/기술직,모름,20250320
53333577,20250421,10~20만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,울산시,모름,3명,1박 2일,F,40대,기혼,자녀 성인(막내 대학),자영업,700만원 이상,20250127
53333828,20250421,20~30만원 미만,1~3만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,5~7만원 미만,3~5만원 미만,강원도,강릉시,2명,1박 2일,M,30대,미혼,미혼,자영업,300만원 미만,20250302
